id,title,brand,model,price,price_raw,condition,storage,ram,location,description,detail_brand,detail_model,detail_condition,seller_name,posted_date,ad_url,is_member,is_featured,scraped_at,price_valid,price_range,storage_gb,ram_gb,title_length
1,Apple iPhone 15 (Brand New),Apple,iPhone 15,200000.0,"Rs 200,000",Brand New,,,Kandy,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-brand-new-for-sale-kandy-12,True,False,2026-02-23T12:17:54.723724,True,200K-500K,,,27
2,Samsung Galaxy A56 5G 8GB 256GB (Brand New),Samsung,Galaxy A56 5G 8GB 256GB,95989.0,"Rs 95,989",Brand New,8GB,,Colombo,,,,,,,https://ikman.lk/en/ad/samsung-galaxy-a56-5g-8gb-256gb-brand-new-for-sale-colombo-62,True,False,2026-02-23T12:17:54.723724,True,50K-100K,8.0,,43
3,Apple iPhone 14 128GB (Used),Apple,iPhone 14 128GB,119999.0,"Rs 119,999",Used,128GB,,Colombo,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-128gb-used-for-sale-colombo-5918,True,True,2026-02-23T12:17:54.723724,True,100K-200K,128.0,,28
4,Infinix Hot 60i 128GB 6GBRam Blue (Brand New),Infinix,Hot 60i 128GB 6GBRam Blue,39990.0,"Rs 39,990",Brand New,128GB,6GB,Colombo,,,,,,,https://ikman.lk/en/ad/infinix-hot-60i-128gb-6gbram-blue-brand-new-for-sale-colombo-9,True,False,2026-02-23T12:17:54.723724,True,25K-50K,128.0,6.0,45
5,Apple iPhone 14 Pro (Used),Apple,iPhone 14 Pro,170000.0,"Rs 170,000",Used,,,Kurunegala,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-used-for-sale-kurunegala-505,False,False,2026-02-23T12:17:54.723724,True,100K-200K,,,26
6,Apple iPhone 11 Pro 256GB (Used),Apple,iPhone 11 Pro 256GB,89998.0,"Rs 89,998",Used,256GB,,Gampaha,,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-gampaha-11078,True,False,2026-02-23T12:17:54.723724,True,50K-100K,256.0,,32
7,Apple iPhone 15 Pro 256GB (Used),Apple,iPhone 15 Pro 256GB,224900.0,"Rs 224,900",Used,256GB,,Kandy,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-256gb-used-for-sale-kandy-171,True,False,2026-02-23T12:17:54.723724,True,200K-500K,256.0,,32
8,Apple iPhone 15 Pro 5G- 4k cinematic (Used),Apple,iPhone 15 Pro 5G- 4k cinematic,198000.0,"Rs 198,000",Used,,,Colombo,,,,,,,https://ikman.lk/en/ad/apple-iphone-15-pro-5g-4k-cinematic-used-for-sale-colombo-33,True,False,2026-02-23T12:17:54.723724,True,100K-200K,,,43
9,Apple iPhone 12 mini 128GB Blue (Used),Apple,iPhone 12 mini 128GB Blue,69990.0,"Rs 69,990",Used,128GB,,Colombo,,,,,,,https://ikman.lk/en/ad/apple-iphone-12-mini-128gb-blue-used-for-sale-colombo-109,True,False,2026-02-23T12:17:54.723724,True,50K-100K,128.0,,38
10,Vivo Y93 6GB/ 128GB (Used),Vivo,Y93 6GB/ 128GB,8900.0,"Rs 8,900",Used,6GB,6GB,Colombo,,,,,,,https://ikman.lk/en/ad/vivo-y93-6gb-128gb-used-for-sale-colombo-8703,True,False,2026-02-23T12:17:54.723724,True,<10K,6.0,6.0,26
11,Apple iPhone 13 5G (Used),Apple,iPhone 13 5G,98000.0,"Rs 98,000",Used,,,Colombo,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-5g-used-for-sale-colombo-373,True,False,2026-02-23T12:17:54.723724,True,50K-100K,,,25
12,Apple iPhone 7 (Used),Apple,iPhone 7,8500.0,"Rs 8,500",Used,,,Polonnaruwa,,,,,,,https://ikman.lk/en/ad/apple-iphone-7-gold-used-for-sale-polonnaruwa-1,False,False,2026-02-23T12:17:54.723724,True,<10K,,,21
13,Apple iPhone 11 Pro 256GB (Used),Apple,iPhone 11 Pro 256GB,89998.0,"Rs 89,998",Used,256GB,,Gampaha,,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-gampaha-11077,True,False,2026-02-23T12:17:54.723724,True,50K-100K,256.0,,32
14,Realme C51 (4+4GB/128GB) (Used),Realme,C51 (4+4GB/128GB),22000.0,"Rs 22,000",Used,4GB,4GB,Colombo,,,,,,,https://ikman.lk/en/ad/realme-c51-44gb-128gb-used-for-sale-colombo-3,True,False,2026-02-23T12:17:54.723724,True,10K-25K,4.0,4.0,31
15,Apple iPhone 13 Pro 256GB USA ðºð¸ (Used),Apple,iPhone 13 Pro 256GB USA ðºð¸,124999.0,"Rs 124,999",Used,256GB,,Gampaha,,,,,,,https://ikman.lk/en/ad/apple-iphone-13-pro-256gb-usa-used-for-sale-gampaha-93,True,False,2026-02-23T12:17:54.723724,True,100K-200K,256.0,,45
16,Apple iPhone 14 Pro 256GB (Used),Apple,iPhone 14 Pro 256GB,179900.0,"Rs 179,900",Used,256GB,,Kandy,,,,,,,https://ikman.lk/en/ad/apple-iphone-14-pro-256gb-used-for-sale-kandy-415,True,False,2026-02-23T12:17:54.723724,True,100K-200K,256.0,,32
17,Xiaomi Redmi 9 64GB (Used),Xiaomi,Redmi 9 64GB,19999.0,"Rs 19,999",Used,64GB,,Ratnapura,,,,,,,https://ikman.lk/en/ad/xiaomi-redmi-9-64gb-used-for-sale-ratnapura,True,False,2026-02-23T12:17:54.723724,True,10K-25K,64.0,,26
18,Apple iPhone 11 128GB (Used),Apple,iPhone 11 128GB,72900.0,"Rs 72,900",Used,128GB,,Kandy,,,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-kandy-2284,True,False,2026-02-23T12:17:54.723724,True,50K-100K,128.0,,28
19,Apple iPhone 11 128gb (Used),Apple,iPhone 11 128gb,59000.0,"Rs 59,000",Used,128GB,,Gampaha,,,,,,,https://ikman.lk/en/ad/apple-iphone-11-128gb-used-for-sale-gampaha-13814,False,False,2026-02-23T12:17:54.723724,True,50K-100K,128.0,,28
20,Apple iPhone 11 Pro 256GB (Used),Apple,iPhone 11 Pro 256GB,89998.0,"Rs 89,998",Used,256GB,,Gampaha,,,,,,,https://ikman.lk/en/ad/apple-iphone-11-pro-256gb-used-for-sale-gampaha-11076,True,False,2026-02-23T12:17:54.723724,True,50K-100K,256.0,,32
21,Apple iPhone 8 64Gb (Used),Apple,iPhone 8 64Gb,25000.0,"Rs 25,000",Used,64GB,,Kandy,,,,,,,https://ikman.lk/en/ad/apple-iphone-8-64gb-used-for-sale-kandy-1616,False,False,2026-02-23T12:17:54.723724,True,25K-50K,64.0,,26
