brand_clean_encoded,condition_encoded,location_clean_encoded,phone_model_clean_encoded,storage_gb,ram_gb,is_member_flag,price,title,brand,model,condition,location,storage,ram,phone_model,brand_clean,location_clean,phone_model_clean
0,0,9,115,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,200000.0,Apple iPhone 15 (Brand New),Apple,iPhone 15,Brand New,Kandy,Unknown,Unknown,iPhone 15,Apple,Kandy,iPhone 15
10,0,4,32,-1.3273020209527444,-0.04410889209389428,0.7196605824810245,95989.0,Samsung Galaxy A56 5G 8GB 256GB (Brand New),Samsung,Galaxy A56 5G 8GB 256GB,Brand New,Colombo,8GB,Unknown,Galaxy A56,Samsung,Colombo,Galaxy A56
0,1,4,109,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,119999.0,Apple iPhone 14 128GB (Used),Apple,iPhone 14 128GB,Used,Colombo,128GB,Unknown,iPhone 14,Apple,Colombo,iPhone 14
4,0,4,67,-0.12036940167494091,-0.22304963081151802,0.7196605824810245,39990.0,Infinix Hot 60i 128GB 6GBRam Blue (Brand New),Infinix,Hot 60i 128GB 6GBRam Blue,Brand New,Colombo,128GB,6GB,Hot 60i Blue,Infinix,Colombo,Other
0,1,10,111,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,170000.0,Apple iPhone 14 Pro (Used),Apple,iPhone 14 Pro,Used,Kurunegala,Unknown,Unknown,iPhone 14 Pro,Apple,Kurunegala,iPhone 14 Pro
0,1,6,99,1.1670253922213827,-0.04410889209389428,0.7196605824810245,89998.0,Apple iPhone 11 Pro 256GB (Used),Apple,iPhone 11 Pro 256GB,Used,Gampaha,256GB,Unknown,iPhone 11 Pro,Apple,Gampaha,iPhone 11 Pro
0,1,9,117,1.1670253922213827,-0.04410889209389428,0.7196605824810245,224900.0,Apple iPhone 15 Pro 256GB (Used),Apple,iPhone 15 Pro 256GB,Used,Kandy,256GB,Unknown,iPhone 15 Pro,Apple,Kandy,iPhone 15 Pro
0,1,4,117,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,198000.0,Apple iPhone 15 Pro 5G- 4k cinematic (Used),Apple,iPhone 15 Pro 5G- 4k cinematic,Used,Colombo,Unknown,Unknown,iPhone 15 Pro,Apple,Colombo,iPhone 15 Pro
0,1,4,67,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,69990.0,Apple iPhone 12 mini 128GB Blue (Used),Apple,iPhone 12 mini 128GB Blue,Used,Colombo,128GB,Unknown,iPhone 12 mini Blue,Apple,Colombo,Other
13,1,4,96,-1.3474175646073743,-0.22304963081151802,0.7196605824810245,8900.0,Vivo Y93 6GB/ 128GB (Used),Vivo,Y93 6GB/ 128GB,Used,Colombo,6GB,6GB,Y93,Vivo,Colombo,Y93
0,1,4,105,-0.12036940167494091,-0.04410889209389428,0.7196605824810245,98000.0,Apple iPhone 13 5G (Used),Apple,iPhone 13 5G,Used,Colombo,Unknown,Unknown,iPhone 13,Apple,Colombo,iPhone 13
0,1,12,128,-0.12036940167494091,-0.04410889209389428,-1.3895439382722716,8500.0,Apple iPhone 7 (Used),Apple,iPhone 7,Used,Polonnaruwa,Unknown,Unknown,iPhone 7,Apple,Other,iPhone 7
0,1,6,99,1.1670253922213827,-0.04410889209389428,0.7196605824810245,89998.0,Apple iPhone 11 Pro 256GB (Used),Apple,iPhone 11 Pro 256GB,Used,Gampaha,256GB,Unknown,iPhone 11 Pro,Apple,Gampaha,iPhone 11 Pro
9,1,4,67,-1.3675331082620044,-0.40199036952914174,0.7196605824810245,22000.0,Realme C51 (4+4GB/128GB) (Used),Realme,C51 (4+4GB/128GB),Used,Colombo,4GB,4GB,C51 (4,Realme,Colombo,Other
0,1,6,67,1.1670253922213827,-0.04410889209389428,0.7196605824810245,124999.0,Apple iPhone 13 Pro 256GB USA ðºð¸ (Used),Apple,iPhone 13 Pro 256GB USA ðºð¸,Used,Gampaha,256GB,Unknown,iPhone 13 Pro USA ðºð,Apple,Gampaha,Other
0,1,9,111,1.1670253922213827,-0.04410889209389428,0.7196605824810245,179900.0,Apple iPhone 14 Pro 256GB (Used),Apple,iPhone 14 Pro 256GB,Used,Kandy,256GB,Unknown,iPhone 14 Pro,Apple,Kandy,iPhone 14 Pro
14,1,14,67,-0.7640667986231027,-0.04410889209389428,0.7196605824810245,19999.0,Xiaomi Redmi 9 64GB (Used),Xiaomi,Redmi 9 64GB,Used,Ratnapura,64GB,Unknown,9,Xiaomi,Ratnapura,Other
